MATERIAL_ID,SUPPLIER_ID,BATCH_NUMBER,MATERIAL_TYPE,SPECS,RECEIVED_DATE,QUANTITY,UNIT_COST
MAT-00001,SUP-001,1409,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0035}",2021-04-02,121,370.87
MAT-00002,SUP-001,9935,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0063}",2020-03-06,65,55.91
MAT-00003,SUP-001,9279,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0012}",2021-02-11,416,328.44
MAT-00004,SUP-001,7873,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.005}",2021-07-23,464,435.96
MAT-00005,SUP-001,7924,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0035}",2021-03-16,440,174.93
MAT-00006,SUP-001,7224,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0042}",2021-12-05,359,139.62
MAT-00007,SUP-001,8527,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0021}",2022-02-14,90,280.5
MAT-00008,SUP-001,6925,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0027}",2020-05-22,73,334.02
MAT-00009,SUP-001,2307,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0088}",2022-02-17,192,232.17
MAT-00010,SUP-001,3664,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0042}",2023-10-04,186,353.89
MAT-00011,SUP-001,2169,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0067}",2022-12-29,423,129.96
MAT-00012,SUP-001,7216,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0099}",2023-08-03,402,282.91
MAT-00013,SUP-001,6313,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0031}",2020-03-06,462,164.57
MAT-00014,SUP-001,2084,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0092}",2023-03-07,498,361.78
MAT-00015,SUP-001,9179,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.009}",2023-08-09,284,80.01
MAT-00016,SUP-001,5040,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0061}",2021-06-22,432,296.45
MAT-00017,SUP-001,7543,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.003}",2020-10-10,310,251.82
MAT-00018,SUP-001,2796,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0066}",2024-06-10,398,216.86
MAT-00019,SUP-001,7304,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0064}",2022-08-16,320,133.19
MAT-00020,SUP-001,1188,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0075}",2023-10-28,324,377.93
MAT-00021,SUP-001,6573,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0036}",2020-11-19,282,11.59
MAT-00022,SUP-001,5315,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0079}",2022-11-05,104,436.55
MAT-00023,SUP-001,9317,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0028}",2022-02-04,440,89.16
MAT-00024,SUP-001,1009,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0039}",2020-02-09,107,465.26
MAT-00025,SUP-001,4923,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0032}",2023-03-07,90,51.97
MAT-00026,SUP-001,2133,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0079}",2020-09-19,387,242.89
