WORK_ORDER_ID,PRODUCT_FAMILY,PRODUCT_SERIES,SERIAL_NUMBER,START_DATE,COMPLETION_DATE,STATUS
WO-00001,Bulldozer,Standard,BUL-S-37752,2021-10-24,2021-11-13,completed
WO-00002,Loader,Standard,LOA-S-57098,2023-12-06,2023-12-16,completed
WO-00003,Grader,Standard,GRA-S-68352,2023-10-17,2023-10-25,completed
WO-00004,Excavator,HD-Series,EXC-H-91259,2021-04-24,2021-04-30,completed
WO-00005,Loader,Standard,LOA-S-82547,2022-04-14,2022-04-21,completed
WO-00006,Grader,Compact,GRA-C-42800,2020-09-15,2020-09-24,quality_hold
WO-00007,Grader,Standard,GRA-S-74609,2023-10-17,2023-10-29,completed
WO-00008,Grader,Compact,GRA-C-92118,2020-11-24,2020-12-07,completed
WO-00009,Excavator,Standard,EXC-S-30288,2021-09-17,2021-09-29,completed
WO-00010,Excavator,HD-Series,EXC-H-85430,2020-03-29,2020-04-11,completed
WO-00011,Excavator,Standard,EXC-S-81079,2024-06-21,2024-06-27,completed
WO-00012,Excavator,Standard,EXC-S-99369,2022-09-09,2022-09-28,completed
WO-00013,Bulldozer,Compact,BUL-C-68812,2024-07-02,2024-07-09,completed
WO-00014,Loader,Standard,LOA-S-51553,2023-10-06,2023-10-24,completed
WO-00015,Bulldozer,Standard,BUL-S-23994,2024-10-22,2024-10-28,completed
WO-00016,Loader,Standard,LOA-S-38900,2024-04-02,2024-04-10,completed
WO-00017,Bulldozer,Standard,BUL-S-44654,2022-07-25,2022-08-01,completed
WO-00018,Grader,Compact,GRA-C-42430,2024-04-29,2024-05-16,completed
WO-00019,Grader,HD-Series,GRA-H-44652,2023-03-20,2023-03-31,quality_hold
WO-00020,Grader,HD-Series,GRA-H-52691,2022-01-30,2022-02-11,completed
WO-00021,Grader,Compact,GRA-C-92814,2024-05-17,2024-06-05,quality_hold
WO-00022,Grader,Standard,GRA-S-78375,2020-12-05,2020-12-17,completed
WO-00023,Grader,HD-Series,GRA-H-96844,2021-01-01,2021-01-20,completed
WO-00024,Loader,Standard,LOA-S-21746,2021-08-11,2021-08-25,completed
WO-00025,Bulldozer,Standard,BUL-S-73258,2024-03-28,2024-04-15,completed
WO-00026,Bulldozer,Standard,BUL-S-25619,2022-05-09,2022-05-18,completed
WO-00027,Loader,HD-Series,LOA-H-82219,2021-04-25,2021-05-10,completed
WO-00028,Excavator,HD-Series,EXC-H-29584,2024-07-21,2024-07-27,completed
WO-00029,Grader,HD-Series,GRA-H-92231,2022-05-01,2022-05-21,completed
WO-00030,Grader,Compact,GRA-C-34245,2022-10-01,2022-10-07,completed
WO-00031,Bulldozer,HD-Series,BUL-H-57294,2024-08-07,2024-08-20,completed
WO-00032,Excavator,Standard,EXC-S-82470,2023-09-05,2023-09-18,completed
WO-00033,Loader,HD-Series,LOA-H-89518,2023-09-21,2023-10-10,quality_hold
WO-00034,Loader,Standard,LOA-S-53681,2023-01-11,2023-01-24,completed
WO-00035,Bulldozer,HD-Series,BUL-H-68745,2021-02-03,2021-02-10,completed
WO-00036,Grader,HD-Series,GRA-H-60678,2024-06-22,2024-07-03,completed
WO-00037,Grader,Standard,GRA-S-84954,2023-11-09,2023-11-26,completed
WO-00038,Grader,Compact,GRA-C-77731,2023-06-30,2023-07-09,completed
WO-00039,Loader,Compact,LOA-C-52191,2020-04-28,2020-05-08,completed
WO-00040,Excavator,Standard,EXC-S-38932,2022-01-02,2022-01-15,completed
WO-00041,Grader,Compact,GRA-C-45314,2022-07-14,2022-07-19,completed
WO-00042,Bulldozer,Compact,BUL-C-31531,2020-11-02,2020-11-12,completed
WO-00043,Excavator,Compact,EXC-C-66993,2024-07-01,2024-07-19,completed
WO-00044,Excavator,HD-Series,EXC-H-59320,2021-06-15,2021-06-21,completed
WO-00045,Grader,Standard,GRA-S-63356,2022-08-26,2022-09-13,completed
WO-00046,Excavator,Standard,EXC-S-23616,2021-03-07,2021-03-18,completed
WO-00047,Grader,HD-Series,GRA-H-76087,2023-01-06,2023-01-25,completed
WO-00048,Grader,HD-Series,GRA-H-67727,2022-03-18,2022-04-06,completed
WO-00049,Loader,Standard,LOA-S-28928,2021-03-09,2021-03-16,quality_hold
WO-00050,Grader,Compact,GRA-C-29968,2022-01-24,2022-02-08,quality_hold
WO-00051,Grader,HD-Series,GRA-H-87199,2022-12-25,2023-01-05,quality_hold
WO-00052,Grader,Standard,GRA-S-36829,2024-12-10,2024-12-18,quality_hold
WO-00053,Bulldozer,HD-Series,BUL-H-47576,2021-07-24,2021-08-05,completed
WO-00054,Bulldozer,HD-Series,BUL-H-62704,2024-12-26,2025-01-02,completed
WO-00055,Bulldozer,HD-Series,BUL-H-77073,2024-01-08,2024-01-14,completed
WO-00056,Grader,Compact,GRA-C-88280,2022-11-14,2022-12-01,completed
WO-00057,Grader,Compact,GRA-C-39462,2020-11-15,2020-12-04,completed
WO-00058,Excavator,HD-Series,EXC-H-10240,2020-08-17,2020-08-24,completed
WO-00059,Bulldozer,Standard,BUL-S-90434,2022-01-14,2022-01-26,quality_hold
WO-00060,Bulldozer,Standard,BUL-S-16859,2021-11-07,2021-11-13,completed
WO-00061,Grader,Standard,GRA-S-14154,2020-07-07,2020-07-13,quality_hold
WO-00062,Grader,Standard,GRA-S-63075,2021-02-22,2021-03-01,completed
WO-00063,Bulldozer,Compact,BUL-C-38589,2021-04-19,2021-05-08,completed
WO-00064,Excavator,Standard,EXC-S-78070,2020-03-21,2020-04-01,completed
WO-00065,Excavator,HD-Series,EXC-H-75636,2020-07-27,2020-08-11,completed
WO-00066,Loader,Standard,LOA-S-49247,2020-09-26,2020-10-06,completed
WO-00067,Excavator,Compact,EXC-C-41273,2023-07-03,2023-07-13,completed
WO-00068,Loader,Standard,LOA-S-70508,2021-01-03,2021-01-17,completed
WO-00069,Bulldozer,Compact,BUL-C-51777,2021-11-12,2021-11-20,completed
WO-00070,Bulldozer,Compact,BUL-C-47231,2020-12-05,2020-12-21,quality_hold
WO-00071,Bulldozer,Compact,BUL-C-22246,2022-12-20,2023-01-08,completed
WO-00072,Grader,Compact,GRA-C-26530,2023-06-14,2023-06-19,completed
WO-00073,Loader,Compact,LOA-C-19162,2022-05-30,2022-06-16,completed
WO-00074,Loader,Compact,LOA-C-52014,2021-10-03,2021-10-23,completed
WO-00075,Grader,Compact,GRA-C-86152,2020-08-06,2020-08-15,completed
WO-00076,Bulldozer,Standard,BUL-S-78514,2021-08-24,2021-08-29,completed
WO-00077,Grader,HD-Series,GRA-H-90091,2022-03-07,2022-03-15,quality_hold
WO-00078,Excavator,HD-Series,EXC-H-48985,2024-08-24,2024-09-07,completed
WO-00079,Loader,Compact,LOA-C-13175,2022-09-11,2022-09-22,quality_hold
WO-00080,Excavator,Standard,EXC-S-62397,2023-05-08,2023-05-14,completed
WO-00081,Excavator,Compact,EXC-C-43991,2021-04-22,2021-04-28,completed
WO-00082,Excavator,Compact,EXC-C-16916,2025-01-17,2025-01-30,completed
WO-00083,Loader,Standard,LOA-S-71129,2020-09-02,2020-09-15,completed
WO-00084,Grader,Standard,GRA-S-90302,2020-02-24,2020-03-01,completed
WO-00085,Grader,HD-Series,GRA-H-90847,2022-03-08,2022-03-15,completed
WO-00086,Bulldozer,Compact,BUL-C-37755,2023-12-06,2023-12-22,completed
WO-00087,Grader,HD-Series,GRA-H-41885,2021-06-12,2021-06-29,completed
WO-00088,Bulldozer,HD-Series,BUL-H-94651,2024-05-12,2024-05-21,completed
WO-00089,Grader,Standard,GRA-S-34964,2020-08-16,2020-08-21,completed
WO-00090,Excavator,Compact,EXC-C-45215,2022-03-20,2022-04-04,completed
WO-00091,Bulldozer,HD-Series,BUL-H-67077,2020-09-17,2020-09-26,completed
WO-00092,Loader,Compact,LOA-C-33832,2024-05-21,2024-06-08,completed
WO-00093,Grader,Compact,GRA-C-36862,2024-05-05,2024-05-23,completed
WO-00094,Bulldozer,Compact,BUL-C-66814,2022-03-22,2022-04-01,completed
WO-00095,Bulldozer,Compact,BUL-C-53603,2024-01-05,2024-01-16,completed
WO-00096,Loader,HD-Series,LOA-H-44312,2023-12-24,2024-01-12,quality_hold
WO-00097,Excavator,HD-Series,EXC-H-64113,2022-06-04,2022-06-21,completed
WO-00098,Grader,HD-Series,GRA-H-56524,2024-12-13,2024-12-27,quality_hold
WO-00099,Loader,Compact,LOA-C-44944,2024-12-16,2024-12-31,completed
WO-00100,Bulldozer,Compact,BUL-C-69375,2024-12-27,2025-01-03,completed
WO-00101,Bulldozer,Standard,BUL-S-33947,2021-09-15,2021-09-27,completed
WO-00102,Loader,Compact,LOA-C-64944,2021-06-24,2021-07-14,completed
WO-00103,Excavator,Standard,EXC-S-91652,2023-09-22,2023-10-07,completed
WO-00104,Loader,HD-Series,LOA-H-88251,2020-04-09,2020-04-27,completed
WO-00105,Grader,Compact,GRA-C-21757,2020-08-30,2020-09-10,quality_hold
WO-00106,Grader,Standard,GRA-S-77158,2022-11-24,2022-12-10,completed
WO-00107,Loader,Standard,LOA-S-16187,2022-12-14,2022-12-24,completed
WO-00108,Bulldozer,HD-Series,BUL-H-79105,2020-03-02,2020-03-11,quality_hold
WO-00109,Loader,HD-Series,LOA-H-73516,2022-12-09,2022-12-25,quality_hold
WO-00110,Grader,Standard,GRA-S-55412,2024-02-07,2024-02-14,quality_hold
WO-00111,Excavator,HD-Series,EXC-H-89959,2021-05-29,2021-06-09,quality_hold
WO-00112,Excavator,Compact,EXC-C-85815,2022-11-26,2022-12-14,completed
WO-00113,Grader,HD-Series,GRA-H-49048,2024-08-20,2024-08-25,completed
WO-00114,Grader,HD-Series,GRA-H-16721,2023-08-02,2023-08-13,completed
WO-00115,Grader,Standard,GRA-S-96812,2020-04-20,2020-05-09,quality_hold
WO-00116,Excavator,Standard,EXC-S-70206,2023-02-04,2023-02-14,completed
WO-00117,Excavator,Compact,EXC-C-39560,2024-05-26,2024-06-10,completed
WO-00118,Grader,HD-Series,GRA-H-91797,2022-07-17,2022-08-03,completed
WO-00119,Excavator,HD-Series,EXC-H-19421,2025-01-11,2025-01-26,completed
WO-00120,Bulldozer,Compact,BUL-C-73808,2024-12-25,2025-01-05,quality_hold
WO-00121,Bulldozer,Compact,BUL-C-15338,2024-10-04,2024-10-22,completed
WO-00122,Bulldozer,HD-Series,BUL-H-19342,2020-10-26,2020-11-11,quality_hold
WO-00123,Grader,Compact,GRA-C-99471,2022-12-12,2022-12-18,completed
WO-00124,Bulldozer,Standard,BUL-S-76833,2022-10-17,2022-11-06,quality_hold
WO-00125,Bulldozer,Standard,BUL-S-95862,2023-04-17,2023-05-03,completed
WO-00126,Excavator,Compact,EXC-C-90331,2020-06-26,2020-07-10,quality_hold
WO-00127,Loader,HD-Series,LOA-H-65616,2020-04-15,2020-04-25,completed
WO-00128,Loader,Compact,LOA-C-85005,2024-12-03,2024-12-23,completed
WO-00129,Bulldozer,Compact,BUL-C-10627,2022-07-21,2022-08-02,completed
WO-00130,Grader,HD-Series,GRA-H-16332,2023-03-05,2023-03-13,quality_hold
WO-00131,Excavator,Standard,EXC-S-67504,2020-04-06,2020-04-22,completed
WO-00132,Bulldozer,Standard,BUL-S-36427,2020-02-24,2020-02-29,completed
WO-00133,Grader,Compact,GRA-C-30471,2023-06-08,2023-06-25,completed
WO-00134,Loader,Compact,LOA-C-79660,2021-01-09,2021-01-20,completed
WO-00135,Grader,HD-Series,GRA-H-27315,2020-07-06,2020-07-19,completed
WO-00136,Loader,Standard,LOA-S-30898,2023-06-07,2023-06-20,quality_hold
WO-00137,Loader,Compact,LOA-C-11210,2023-11-29,2023-12-13,completed
WO-00138,Bulldozer,HD-Series,BUL-H-81538,2021-03-11,2021-03-23,completed
WO-00139,Bulldozer,Standard,BUL-S-89612,2021-09-18,2021-10-07,quality_hold
WO-00140,Bulldozer,Standard,BUL-S-36503,2023-06-03,2023-06-22,completed
WO-00141,Grader,Standard,GRA-S-78000,2023-01-17,2023-01-27,completed
WO-00142,Loader,Standard,LOA-S-36491,2024-08-18,2024-08-27,completed
WO-00143,Bulldozer,Standard,BUL-S-53208,2020-12-03,2020-12-11,completed
WO-00144,Grader,Compact,GRA-C-15525,2023-09-21,2023-10-11,quality_hold
WO-00145,Grader,HD-Series,GRA-H-73960,2024-05-27,2024-06-13,completed
WO-00146,Excavator,Compact,EXC-C-24253,2020-02-03,2020-02-20,completed
WO-00147,Loader,HD-Series,LOA-H-98608,2024-10-06,2024-10-23,completed
WO-00148,Excavator,Standard,EXC-S-40896,2023-01-19,2023-01-28,completed
WO-00149,Excavator,Standard,EXC-S-12011,2020-09-20,2020-10-05,quality_hold
WO-00150,Loader,HD-Series,LOA-H-94679,2023-11-09,2023-11-27,completed
WO-00151,Excavator,HD-Series,EXC-H-38520,2020-06-23,2020-07-11,completed
WO-00152,Bulldozer,HD-Series,BUL-H-21399,2022-10-02,2022-10-15,completed
WO-00153,Bulldozer,Compact,BUL-C-72797,2022-08-07,2022-08-21,completed
WO-00154,Bulldozer,HD-Series,BUL-H-79323,2023-03-08,2023-03-27,completed
WO-00155,Grader,HD-Series,GRA-H-60645,2022-09-22,2022-09-29,completed
WO-00156,Bulldozer,HD-Series,BUL-H-83775,2022-11-03,2022-11-22,quality_hold
WO-00157,Grader,Standard,GRA-S-20826,2021-02-26,2021-03-05,quality_hold
WO-00158,Grader,HD-Series,GRA-H-42670,2022-07-21,2022-08-06,completed
WO-00159,Bulldozer,HD-Series,BUL-H-16867,2021-02-27,2021-03-18,completed
WO-00160,Bulldozer,Compact,BUL-C-37853,2022-10-29,2022-11-06,completed
WO-00161,Bulldozer,Standard,BUL-S-84440,2023-04-14,2023-05-02,completed
WO-00162,Grader,Standard,GRA-S-78991,2023-03-22,2023-03-31,completed
WO-00163,Grader,Compact,GRA-C-14938,2023-06-03,2023-06-15,completed
WO-00164,Bulldozer,Standard,BUL-S-53717,2021-07-03,2021-07-22,completed
WO-00165,Excavator,Compact,EXC-C-49966,2023-08-15,2023-09-03,completed
WO-00166,Bulldozer,Standard,BUL-S-52528,2022-10-25,2022-11-08,completed
WO-00167,Excavator,Compact,EXC-C-53658,2024-08-31,2024-09-08,quality_hold
WO-00168,Bulldozer,Compact,BUL-C-19421,2024-10-27,2024-11-08,quality_hold
WO-00169,Bulldozer,HD-Series,BUL-H-88081,2024-04-26,2024-05-03,completed
WO-00170,Bulldozer,Standard,BUL-S-43071,2022-04-16,2022-04-29,completed
WO-00171,Bulldozer,Compact,BUL-C-43305,2023-04-01,2023-04-15,completed
WO-00172,Grader,HD-Series,GRA-H-12832,2020-11-30,2020-12-07,quality_hold
WO-00173,Grader,HD-Series,GRA-H-50641,2023-02-20,2023-03-08,completed
WO-00174,Excavator,Compact,EXC-C-83493,2024-02-06,2024-02-20,completed
WO-00175,Loader,Compact,LOA-C-24225,2023-12-19,2024-01-03,quality_hold
WO-00176,Excavator,HD-Series,EXC-H-26123,2022-10-15,2022-11-03,quality_hold
WO-00177,Grader,Compact,GRA-C-10576,2022-09-13,2022-09-25,quality_hold
WO-00178,Bulldozer,Compact,BUL-C-33004,2023-07-23,2023-08-09,completed
WO-00179,Loader,Standard,LOA-S-45057,2023-06-29,2023-07-09,completed
WO-00180,Bulldozer,Standard,BUL-S-97914,2021-05-23,2021-06-06,completed
