DEFECT_ID,WORK_ORDER_ID,DEFECT_TYPE,SEVERITY,DETECTION_DATE,DETECTION_STAGE,DESCRIPTION,ROOT_CAUSE
DEF-0001,WO-00018,material_fatigue,critical,2024-06-23,field_return,Material Fatigue detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0002,WO-00085,cylinder_scoring,major,2022-04-26,final_inspection,Cylinder Scoring detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0003,WO-00145,hydraulic_seal_failure,major,2024-07-14,field_return,Hydraulic Seal Failure detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0004,WO-00243,material_fatigue,critical,2020-09-07,final_inspection,Material Fatigue detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0005,WO-00255,dimensional_variance,major,2021-12-16,final_inspection,Dimensional Variance detected during final inspection,
DEF-0006,WO-00303,cylinder_scoring,critical,2021-07-03,field_return,Cylinder Scoring detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0007,WO-00306,material_fatigue,major,2022-11-19,field_return,Material Fatigue detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0008,WO-00339,stress_fracture,major,2021-01-20,field_return,Stress Fracture detected during field return. Possible heat treatment parameter deviation.,Heat Treatment Line 3 - HD-Series parameter mismatch
DEF-0009,WO-00384,cylinder_scoring,major,2024-12-20,final_inspection,Cylinder Scoring detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0010,WO-00496,coating_adhesion,minor,2024-08-31,final_inspection,Coating Adhesion detected during final inspection,
DEF-0011,WO-00500,premature_wear,major,2022-09-29,field_return,Premature Wear detected during field return. Possible heat treatment parameter deviation.,Heat Treatment Line 3 - HD-Series parameter mismatch
DEF-0012,WO-00567,hydraulic_seal_failure,critical,2025-03-01,final_inspection,Hydraulic Seal Failure detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0013,WO-00588,surface_finish,major,2024-07-13,in_process,Surface Finish detected during in process,
DEF-0014,WO-00628,material_fatigue,major,2020-11-25,field_return,Material Fatigue detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0015,WO-00647,hydraulic_seal_failure,major,2025-02-25,final_inspection,Hydraulic Seal Failure detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0016,WO-00654,material_fatigue,major,2023-11-22,field_return,Material Fatigue detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0017,WO-00674,hydraulic_seal_failure,major,2022-03-20,field_return,Hydraulic Seal Failure detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0018,WO-00697,cylinder_scoring,critical,2021-01-06,field_return,Cylinder Scoring detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0019,WO-00742,stress_fracture,major,2021-03-19,final_inspection,Stress Fracture detected during final inspection. Possible heat treatment parameter deviation.,Heat Treatment Line 3 - HD-Series parameter mismatch
DEF-0020,WO-00806,surface_contamination,critical,2023-08-05,in_process,Surface Contamination detected during in process,
DEF-0021,WO-00844,cylinder_scoring,major,2022-03-12,field_return,Cylinder Scoring detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0022,WO-00855,material_fatigue,critical,2023-06-11,final_inspection,Material Fatigue detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0023,WO-00871,material_fatigue,major,2025-02-05,final_inspection,Material Fatigue detected during final inspection. Potential material quality issue.,Vulcan Steel batch 2847
DEF-0024,WO-00916,material_fatigue,major,2024-05-02,field_return,Material Fatigue detected during field return. Potential material quality issue.,Vulcan Steel batch 2847
