PARAM_ID,STEP_ID,TEMPERATURE,PRESSURE,SPEED,DURATION,ADDITIONAL_PARAMS
PARAM-000001,STEP-000001,25.6,,924.5,175,{}
PARAM-000002,STEP-000002,1697.6,,13.0,171,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""100% CO2""}"
PARAM-000003,STEP-000003,896.7,,,3979,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000004,STEP-000004,63.6,47.9,,179,"{""coating_type"": ""powder"", ""thickness_mil"": 2.5}"
PARAM-000005,STEP-000005,21.3,86.5,,355,{}
PARAM-000006,STEP-000006,22.2,,,50,{}
PARAM-000007,STEP-000007,24.7,52.4,,599,{}
PARAM-000008,STEP-000008,22.0,481.4,,123,{}
PARAM-000009,STEP-000009,21.9,,,42,{}
PARAM-000010,STEP-000010,31.9,,847.1,174,{}
PARAM-000011,STEP-000011,1515.0,,6.5,197,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000012,STEP-000012,899.4,,,3489,"{""atmosphere"": ""argon"", ""quench_medium"": ""air""}"
PARAM-000013,STEP-000013,61.4,30.2,,289,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 3.7}"
PARAM-000014,STEP-000014,21.1,90.6,,451,{}
PARAM-000015,STEP-000015,20.2,,,42,{}
PARAM-000016,STEP-000016,22.7,54.6,,481,{}
PARAM-000017,STEP-000017,21.8,432.1,,168,{}
PARAM-000018,STEP-000018,21.7,,,43,{}
PARAM-000019,STEP-000019,26.5,,1425.6,46,{}
PARAM-000020,STEP-000020,1722.3,,11.7,292,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""100% CO2""}"
PARAM-000021,STEP-000021,850.9,,,3625,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""water""}"
PARAM-000022,STEP-000022,60.5,41.9,,181,"{""coating_type"": ""powder"", ""thickness_mil"": 3.7}"
PARAM-000023,STEP-000023,23.0,53.9,,367,{}
PARAM-000024,STEP-000024,23.8,,,51,{}
PARAM-000025,STEP-000025,23.7,50.5,,572,{}
PARAM-000026,STEP-000026,22.4,387.4,,102,{}
PARAM-000027,STEP-000027,23.5,,,39,{}
PARAM-000028,STEP-000028,27.6,,1306.2,104,{}
PARAM-000029,STEP-000029,1719.7,,12.4,73,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000030,STEP-000030,867.3,,,3548,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000031,STEP-000031,69.8,41.5,,150,"{""coating_type"": ""epoxy"", ""thickness_mil"": 4.8}"
PARAM-000032,STEP-000032,24.1,88.4,,210,{}
PARAM-000033,STEP-000033,20.1,,,31,{}
PARAM-000034,STEP-000034,25.0,55.0,,266,{}
PARAM-000035,STEP-000035,22.1,110.2,,92,{}
PARAM-000036,STEP-000036,22.7,,,54,{}
PARAM-000037,STEP-000037,33.8,,921.7,109,{}
PARAM-000038,STEP-000038,1734.5,,11.8,113,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""100% CO2""}"
PARAM-000039,STEP-000039,861.7,,,3878,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000040,STEP-000040,74.3,41.0,,130,"{""coating_type"": ""epoxy"", ""thickness_mil"": 3.9}"
PARAM-000041,STEP-000041,20.6,65.6,,405,{}
PARAM-000042,STEP-000042,21.1,,,55,{}
PARAM-000043,STEP-000043,22.4,78.5,,479,{}
PARAM-000044,STEP-000044,22.6,179.4,,176,{}
PARAM-000045,STEP-000045,24.5,,,62,{}
PARAM-000046,STEP-000046,26.0,,1113.2,149,{}
PARAM-000047,STEP-000047,1754.3,,8.2,132,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""100% CO2""}"
PARAM-000048,STEP-000048,883.6,,,3503,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""oil""}"
PARAM-000049,STEP-000049,79.7,32.0,,157,"{""coating_type"": ""powder"", ""thickness_mil"": 2.8}"
PARAM-000050,STEP-000050,20.4,53.6,,340,{}
PARAM-000051,STEP-000051,21.0,,,31,{}
PARAM-000052,STEP-000052,24.5,51.8,,578,{}
